cycle	verifyExit	autoExit	captureExit	startUtc	endUtc	durationSec
1	0	0	0	2026-03-08T18:55:29.8792534Z	2026-03-08T18:55:33.6658504Z	3.79
2	0	0	0	2026-03-08T18:55:33.6714091Z	2026-03-08T18:55:37.4153955Z	3.74
3	0	0	0	2026-03-08T18:55:37.4195420Z	2026-03-08T18:55:40.9488311Z	3.53
4	0	0	0	2026-03-08T18:55:40.9518564Z	2026-03-08T18:55:44.6591490Z	3.71
5	0	0	0	2026-03-08T18:55:44.6628950Z	2026-03-08T18:55:48.3638237Z	3.70
6	0	0	0	2026-03-08T18:55:48.3653725Z	2026-03-08T18:55:52.5267379Z	4.16
7	0	0	0	2026-03-08T18:55:52.5294850Z	2026-03-08T18:55:56.1538233Z	3.62
8	0	0	0	2026-03-08T18:55:56.1554966Z	2026-03-08T18:56:00.0462495Z	3.89
9	0	0	0	2026-03-08T18:56:00.0472695Z	2026-03-08T18:56:03.6433082Z	3.60
10	0	0	0	2026-03-08T18:56:03.6439831Z	2026-03-08T18:56:07.2670769Z	3.62
11	0	0	0	2026-03-08T18:56:07.2706398Z	2026-03-08T18:56:10.9939886Z	3.72
12	0	0	0	2026-03-08T18:56:10.9998581Z	2026-03-08T18:56:14.7145910Z	3.71
13	0	0	0	2026-03-08T18:56:14.7161359Z	2026-03-08T18:56:18.6064011Z	3.89
14	0	0	0	2026-03-08T18:56:18.6085926Z	2026-03-08T18:56:22.2477696Z	3.64
15	0	0	0	2026-03-08T18:56:22.2494853Z	2026-03-08T18:56:25.9017743Z	3.65
16	0	0	0	2026-03-08T18:56:25.9062037Z	2026-03-08T18:56:29.6344590Z	3.73
17	0	0	0	2026-03-08T18:56:29.6384908Z	2026-03-08T18:56:33.4144962Z	3.78
18	0	0	0	2026-03-08T18:56:33.4181219Z	2026-03-08T18:56:37.1670829Z	3.75
19	0	0	0	2026-03-08T18:56:37.1670829Z	2026-03-08T18:56:40.7875419Z	3.62
20	0	0	0	2026-03-08T18:56:40.7918112Z	2026-03-08T18:56:44.3795039Z	3.59
21	0	0	0	2026-03-08T18:56:44.3795039Z	2026-03-08T18:56:47.9920416Z	3.61
22	0	0	0	2026-03-08T18:56:47.9937915Z	2026-03-08T18:56:52.1805259Z	4.19
23	0	0	0	2026-03-08T18:56:52.1815455Z	2026-03-08T18:56:56.2904906Z	4.11
24	0	0	0	2026-03-08T18:56:56.2904906Z	2026-03-08T18:56:59.9487466Z	3.66
25	0	0	0	2026-03-08T18:56:59.9513598Z	2026-03-08T18:57:03.5431754Z	3.59
26	0	0	0	2026-03-08T18:57:03.5459594Z	2026-03-08T18:57:07.2538307Z	3.71
27	0	0	0	2026-03-08T18:57:07.2580306Z	2026-03-08T18:57:11.0470749Z	3.79
28	0	0	0	2026-03-08T18:57:11.0496627Z	2026-03-08T18:57:14.7607525Z	3.71
29	0	0	0	2026-03-08T18:57:14.7652265Z	2026-03-08T18:57:18.5483703Z	3.78
30	0	0	0	2026-03-08T18:57:18.5504063Z	2026-03-08T18:57:22.3122909Z	3.76
31	0	0	0	2026-03-08T18:57:22.3122909Z	2026-03-08T18:57:26.1244048Z	3.81
32	0	0	0	2026-03-08T18:57:26.1264388Z	2026-03-08T18:57:29.9468778Z	3.82
33	0	0	0	2026-03-08T18:57:29.9497410Z	2026-03-08T18:57:34.6739795Z	4.72
34	0	0	0	2026-03-08T18:57:34.6781103Z	2026-03-08T18:57:38.6038570Z	3.93
35	0	0	0	2026-03-08T18:57:38.6064181Z	2026-03-08T18:57:42.6131706Z	4.01
36	0	0	0	2026-03-08T18:57:42.6164346Z	2026-03-08T18:57:46.4573388Z	3.84
37	0	0	0	2026-03-08T18:57:46.4634389Z	2026-03-08T18:57:50.5141357Z	4.05
38	0	0	0	2026-03-08T18:57:50.5177862Z	2026-03-08T18:57:54.8617061Z	4.34
39	0	0	0	2026-03-08T18:57:54.8632149Z	2026-03-08T18:57:58.8040431Z	3.94
40	0	0	0	2026-03-08T18:57:58.8075749Z	2026-03-08T18:58:02.8886085Z	4.08
41	0	0	0	2026-03-08T18:58:02.8931632Z	2026-03-08T18:58:06.6731410Z	3.78
42	0	0	0	2026-03-08T18:58:06.6756605Z	2026-03-08T18:58:10.4758610Z	3.80
43	0	0	0	2026-03-08T18:58:10.4778710Z	2026-03-08T18:58:14.2940401Z	3.82
44	0	0	0	2026-03-08T18:58:14.2960655Z	2026-03-08T18:58:18.0905371Z	3.79
45	0	0	0	2026-03-08T18:58:18.0935874Z	2026-03-08T18:58:22.2427597Z	4.15
46	0	0	0	2026-03-08T18:58:22.2451627Z	2026-03-08T18:58:26.2138927Z	3.97
47	0	0	0	2026-03-08T18:58:26.2169487Z	2026-03-08T18:58:30.0167411Z	3.80
48	0	0	0	2026-03-08T18:58:30.0195040Z	2026-03-08T18:58:33.8678133Z	3.85
49	0	0	0	2026-03-08T18:58:33.8722162Z	2026-03-08T18:58:37.6659950Z	3.79
50	0	0	0	2026-03-08T18:58:37.6690466Z	2026-03-08T18:58:41.4298205Z	3.76
51	0	0	0	2026-03-08T18:58:41.4352411Z	2026-03-08T18:58:45.5169347Z	4.08
52	0	0	0	2026-03-08T18:58:45.5204855Z	2026-03-08T18:58:49.3358933Z	3.82
53	0	0	0	2026-03-08T18:58:49.3379290Z	2026-03-08T18:58:53.5491827Z	4.21
54	0	0	0	2026-03-08T18:58:53.5512021Z	2026-03-08T18:58:57.3458235Z	3.79
55	0	0	0	2026-03-08T18:58:57.3468560Z	2026-03-08T18:59:01.3182988Z	3.97
56	0	0	0	2026-03-08T18:59:01.3218334Z	2026-03-08T18:59:05.2722753Z	3.95
57	0	0	0	2026-03-08T18:59:05.2769190Z	2026-03-08T18:59:09.0570760Z	3.78
58	0	0	0	2026-03-08T18:59:09.0590871Z	2026-03-08T18:59:12.8917464Z	3.83
59	0	0	0	2026-03-08T18:59:12.8917464Z	2026-03-08T18:59:16.6824679Z	3.79
60	0	0	0	2026-03-08T18:59:16.6834854Z	2026-03-08T18:59:20.7643911Z	4.08
61	0	0	0	2026-03-08T18:59:20.7650710Z	2026-03-08T18:59:24.8063885Z	4.04
62	0	0	0	2026-03-08T18:59:24.8074169Z	2026-03-08T18:59:28.6802633Z	3.87
63	0	0	0	2026-03-08T18:59:28.6828004Z	2026-03-08T18:59:33.0238320Z	4.34
64	0	0	0	2026-03-08T18:59:33.0278032Z	2026-03-08T18:59:36.9656741Z	3.94
65	0	0	0	2026-03-08T18:59:36.9699696Z	2026-03-08T18:59:40.9131439Z	3.94
66	0	0	0	2026-03-08T18:59:40.9172078Z	2026-03-08T18:59:44.6421065Z	3.72
67	0	0	0	2026-03-08T18:59:44.6456727Z	2026-03-08T18:59:48.6700911Z	4.02
68	0	0	0	2026-03-08T18:59:48.6728594Z	2026-03-08T18:59:53.3161945Z	4.64
69	0	0	0	2026-03-08T18:59:53.3177102Z	2026-03-08T18:59:57.2347114Z	3.92
70	0	0	0	2026-03-08T18:59:57.2353845Z	2026-03-08T19:00:01.4516723Z	4.22
71	0	0	0	2026-03-08T19:00:01.4539791Z	2026-03-08T19:00:05.4379582Z	3.98
72	0	0	0	2026-03-08T19:00:05.4411822Z	2026-03-08T19:00:09.5555187Z	4.11
73	0	0	0	2026-03-08T19:00:09.5594988Z	2026-03-08T19:00:13.3522267Z	3.79
74	0	0	0	2026-03-08T19:00:13.3557969Z	2026-03-08T19:00:17.1975824Z	3.84
75	0	0	0	2026-03-08T19:00:17.2003299Z	2026-03-08T19:00:20.9434810Z	3.74
76	0	0	0	2026-03-08T19:00:20.9470096Z	2026-03-08T19:00:25.0151655Z	4.07
77	0	0	0	2026-03-08T19:00:25.0151655Z	2026-03-08T19:00:29.1902739Z	4.18
78	0	0	0	2026-03-08T19:00:29.1917832Z	2026-03-08T19:00:33.3591433Z	4.17
79	0	0	0	2026-03-08T19:00:33.3618650Z	2026-03-08T19:00:37.2574473Z	3.90
80	0	0	0	2026-03-08T19:00:37.2609961Z	2026-03-08T19:00:41.1493719Z	3.89
81	0	0	0	2026-03-08T19:00:41.1513824Z	2026-03-08T19:00:45.1109362Z	3.96
82	0	0	0	2026-03-08T19:00:45.1151097Z	2026-03-08T19:00:49.4598827Z	4.34
83	0	0	0	2026-03-08T19:00:49.4598827Z	2026-03-08T19:00:53.7229005Z	4.26
84	0	0	0	2026-03-08T19:00:53.7249149Z	2026-03-08T19:00:58.0329047Z	4.31
85	0	0	0	2026-03-08T19:00:58.0364232Z	2026-03-08T19:01:02.3597436Z	4.32
86	0	0	0	2026-03-08T19:01:02.3638128Z	2026-03-08T19:01:06.2109878Z	3.85
87	0	0	0	2026-03-08T19:01:06.2127384Z	2026-03-08T19:01:10.2506775Z	4.04
88	0	0	0	2026-03-08T19:01:10.2536218Z	2026-03-08T19:01:14.1110409Z	3.86
89	0	0	0	2026-03-08T19:01:14.1134616Z	2026-03-08T19:01:18.0873735Z	3.97
90	0	0	0	2026-03-08T19:01:18.0921611Z	2026-03-08T19:01:22.0605698Z	3.97
91	0	0	0	2026-03-08T19:01:22.0653928Z	2026-03-08T19:01:25.9018486Z	3.84
92	0	0	0	2026-03-08T19:01:25.9074707Z	2026-03-08T19:01:29.8310161Z	3.92
93	0	0	0	2026-03-08T19:01:29.8348092Z	2026-03-08T19:01:33.8113369Z	3.98
94	0	0	0	2026-03-08T19:01:33.8153490Z	2026-03-08T19:01:37.7372933Z	3.92
95	0	0	0	2026-03-08T19:01:37.7372933Z	2026-03-08T19:01:41.5655800Z	3.83
96	0	0	0	2026-03-08T19:01:41.5682179Z	2026-03-08T19:01:45.3787341Z	3.81
97	0	0	0	2026-03-08T19:01:45.3825608Z	2026-03-08T19:01:49.2001014Z	3.82
98	0	0	0	2026-03-08T19:01:49.2046344Z	2026-03-08T19:01:53.5269724Z	4.32
99	0	0	0	2026-03-08T19:01:53.5285068Z	2026-03-08T19:01:57.3503982Z	3.82
100	0	0	0	2026-03-08T19:01:57.3524088Z	2026-03-08T19:02:01.4717192Z	4.12
